ticker,sector
A,PharmaceuticalsBiotechnologyAndLifeSciences
AAL,Transportation
AAP,Retailing
AAPL,TechnologyHardwareAndEquipment
ABBV,PharmaceuticalsBiotechnologyAndLifeSciences
ABT,HealthCareEquipmentAndServices
ACN,SoftwareAndServices
ADBE,SoftwareAndServices
ADI,SemiconductorsAndSemiconductorEquipment
ADM,FoodBeverageAndTobacco
ADP,CommercialAndProfessionalServices
ADSK,SoftwareAndServices
ADT,ConsumerServices
AEE,Utilities
AEP,Utilities
AES,Utilities
AET,HealthCareEquipmentAndServices
AFL,Insurance
AIG,Insurance
AIV,EquityRealEstateInvestmentTrustsREITs
AIZ,Insurance
AJG,Insurance
AKAM,SoftwareAndServices
ALB,Materials
ALGN,HealthCareEquipmentAndServices
ALK,Transportation
ALL,Insurance
ALLE,CapitalGoods
AMAT,SemiconductorsAndSemiconductorEquipment
AMD,SemiconductorsAndSemiconductorEquipment
AME,CapitalGoods
AMG,DiversifiedFinancialServices
AMGN,PharmaceuticalsBiotechnologyAndLifeSciences
AMP,DiversifiedFinancialServices
AMT,EquityRealEstateInvestmentTrustsREITs
AMZN,Retailing
AN,Retailing
ANDV,Energy
ANET,TechnologyHardwareAndEquipment
ANF,Retailing
AON,Insurance
AOS,CapitalGoods
APA,Energy
APC,Energy
APD,Materials
APH,TechnologyHardwareAndEquipment
APTV,AutomobilesAndComponents
ARE,EquityRealEstateInvestmentTrustsREITs
ATGE,ConsumerServices
ATI,CapitalGoods
AVB,EquityRealEstateInvestmentTrustsREITs
AVGO,SemiconductorsAndSemiconductorEquipment
AVY,Materials
AWK,Utilities
AXP,DiversifiedFinancialServices
AYI,CapitalGoods
AZO,Retailing
BA,CapitalGoods
BAC,Banks
BAX,HealthCareEquipmentAndServices
BBBY,Retailing
BBT,Banks
BBY,Retailing
BDX,HealthCareEquipmentAndServices
BEAM,PharmaceuticalsBiotechnologyAndLifeSciences
BEN,DiversifiedFinancialServices
BF-B,FoodBeverageAndTobacco
BHF,Insurance
BIIB,PharmaceuticalsBiotechnologyAndLifeSciences
BK,DiversifiedFinancialServices
BKNG,ConsumerServices
BLK,DiversifiedFinancialServices
BMC,SoftwareAndServices
BMS,Materials
BMY,PharmaceuticalsBiotechnologyAndLifeSciences
BR,CommercialAndProfessionalServices
BRK-B,DiversifiedFinancialServices
BSX,HealthCareEquipmentAndServices
BWA,AutomobilesAndComponents
BXP,EquityRealEstateInvestmentTrustsREITs
C,Banks
CA,SoftwareAndServices
CAG,FoodBeverageAndTobacco
CAH,HealthCareEquipmentAndServices
CAM,Energy
CAT,CapitalGoods
CB,Insurance
CBE,CapitalGoods
CBOE,DiversifiedFinancialServices
CBRE,RealEstateManagementAndDevelopment
CCEP,FoodBeverageAndTobacco
CCI,EquityRealEstateInvestmentTrustsREITs
CCL,ConsumerServices
CDNS,SoftwareAndServices
CE,Materials
CEG,Utilities
CF,Materials
CFG,Banks
CHD,HouseholdAndPersonalProducts
CHRW,Transportation
CHTR,MediaAndEntertainment
CI,HealthCareEquipmentAndServices
CINF,Insurance
CL,HouseholdAndPersonalProducts
CLF,Materials
CLX,HouseholdAndPersonalProducts
CMCSA,TelecommunicationServices
CME,DiversifiedFinancialServices
CMG,ConsumerServices
CMI,CapitalGoods
CMS,Utilities
CNC,HealthCareEquipmentAndServices
CNP,Utilities
CNX,Energy
COF,DiversifiedFinancialServices
COL,CapitalGoods
COO,HealthCareEquipmentAndServices
COP,Energy
COST,ConsumerStaplesDistributionAndRetail
COTY,HouseholdAndPersonalProducts
CPB,FoodBeverageAndTobacco
CPRI,ConsumerDurablesAndApparel
CPRT,CommercialAndProfessionalServices
CPWR,SoftwareAndServices
CRM,SoftwareAndServices
CSCO,TechnologyHardwareAndEquipment
CSRA,SoftwareAndServices
CSX,Transportation
CTAS,CommercialAndProfessionalServices
CTSH,SoftwareAndServices
CVS,HealthCareEquipmentAndServices
CVX,Energy
D,Utilities
DAL,Transportation
DD,Materials
DE,CapitalGoods
DELL,TechnologyHardwareAndEquipment
DG,ConsumerStaplesDistributionAndRetail
DGX,HealthCareEquipmentAndServices
DHI,ConsumerDurablesAndApparel
DHR,PharmaceuticalsBiotechnologyAndLifeSciences
DIS,MediaAndEntertainment
DLR,EquityRealEstateInvestmentTrustsREITs
DLTR,ConsumerStaplesDistributionAndRetail
DOV,CapitalGoods
DOW,Materials
DRI,ConsumerServices
DTE,Utilities
DUK,Utilities
DVA,HealthCareEquipmentAndServices
DVN,Energy
DXC,SoftwareAndServices
EA,MediaAndEntertainment
EBAY,Retailing
ECL,Materials
ED,Utilities
EFX,CommercialAndProfessionalServices
EIX,Utilities
EL,HouseholdAndPersonalProducts
EMC,TechnologyHardwareAndEquipment
EMN,Materials
EMR,CapitalGoods
EOG,Energy
EP,Energy
EQIX,EquityRealEstateInvestmentTrustsREITs
EQR,EquityRealEstateInvestmentTrustsREITs
EQT,Energy
ES,Utilities
ESRX,HealthCareEquipmentAndServices
ESS,EquityRealEstateInvestmentTrustsREITs
ETN,CapitalGoods
ETR,Utilities
EVHC,HealthCareEquipmentAndServices
EVRG,Utilities
EW,HealthCareEquipmentAndServices
EXC,Utilities
EXPD,Transportation
EXPE,ConsumerServices
EXR,EquityRealEstateInvestmentTrustsREITs
F,AutomobilesAndComponents
FANG,Energy
FAST,CapitalGoods
FB,MediaAndEntertainment
FCPT,EquityRealEstateInvestmentTrustsREITs
FCX,Materials
FDX,Transportation
FE,Utilities
FFIV,TechnologyHardwareAndEquipment
FHN,Banks
FIS,DiversifiedFinancialServices
FISV,DiversifiedFinancialServices
FITB,Banks
FLR,CapitalGoods
FLS,CapitalGoods
FMC,Materials
FOSL,ConsumerDurablesAndApparel
FOX,MediaAndEntertainment
FOXA,MediaAndEntertainment
FRT,EquityRealEstateInvestmentTrustsREITs
FSLR,SemiconductorsAndSemiconductorEquipment
FTI,Energy
FTNT,SoftwareAndServices
FTV,CapitalGoods
GD,CapitalGoods
GE,CapitalGoods
GENZ,PharmaceuticalsBiotechnologyAndLifeSciences
GHC,ConsumerServices
GILD,PharmaceuticalsBiotechnologyAndLifeSciences
GIS,FoodBeverageAndTobacco
GLW,TechnologyHardwareAndEquipment
GM,AutomobilesAndComponents
GME,Retailing
GNW,Insurance
GOOG,MediaAndEntertainment
GOOGL,MediaAndEntertainment
GPC,Retailing
GPN,DiversifiedFinancialServices
GR,CapitalGoods
GRMN,ConsumerDurablesAndApparel
GS,DiversifiedFinancialServices
GT,AutomobilesAndComponents
GWW,CapitalGoods
HAL,Energy
HAR,ConsumerDurablesAndApparel
HAS,ConsumerDurablesAndApparel
HBAN,Banks
HCA,HealthCareEquipmentAndServices
HD,Retailing
HIG,Insurance
HII,CapitalGoods
HLT,ConsumerServices
HOG,AutomobilesAndComponents
HOLX,HealthCareEquipmentAndServices
HON,CapitalGoods
HOT,ConsumerServices
HP,Energy
HPE,TechnologyHardwareAndEquipment
HPQ,TechnologyHardwareAndEquipment
HRB,ConsumerServices
HRL,FoodBeverageAndTobacco
HSIC,HealthCareEquipmentAndServices
HST,EquityRealEstateInvestmentTrustsREITs
HSY,FoodBeverageAndTobacco
HUM,HealthCareEquipmentAndServices
IBM,SoftwareAndServices
ICE,DiversifiedFinancialServices
IDXX,HealthCareEquipmentAndServices
IFF,Materials
ILMN,PharmaceuticalsBiotechnologyAndLifeSciences
INCY,PharmaceuticalsBiotechnologyAndLifeSciences
INFO,CommercialAndProfessionalServices
INTC,SemiconductorsAndSemiconductorEquipment
INTU,SoftwareAndServices
IP,Materials
IPGP,TechnologyHardwareAndEquipment
IQV,PharmaceuticalsBiotechnologyAndLifeSciences
IR,CapitalGoods
IRM,EquityRealEstateInvestmentTrustsREITs
ISRG,HealthCareEquipmentAndServices
IT,SoftwareAndServices
ITT,CapitalGoods
ITW,CapitalGoods
IVZ,DiversifiedFinancialServices
JAVA,TechnologyHardwareAndEquipment
JBHT,Transportation
JBL,TechnologyHardwareAndEquipment
JCI,CapitalGoods
JEF,DiversifiedFinancialServices
JKHY,DiversifiedFinancialServices
JNJ,PharmaceuticalsBiotechnologyAndLifeSciences
JPM,Banks
KDP,FoodBeverageAndTobacco
KEY,Banks
KEYS,TechnologyHardwareAndEquipment
KG,Insurance
KHC,FoodBeverageAndTobacco
KIM,EquityRealEstateInvestmentTrustsREITs
KLAC,SemiconductorsAndSemiconductorEquipment
KMB,HouseholdAndPersonalProducts
KMI,Energy
KMX,Retailing
KO,FoodBeverageAndTobacco
KR,ConsumerStaplesDistributionAndRetail
KSS,Retailing
L,Insurance
LB,RealEstateManagementAndDevelopment
LDOS,CommercialAndProfessionalServices
LEG,ConsumerDurablesAndApparel
LEN,ConsumerDurablesAndApparel
LH,HealthCareEquipmentAndServices
LIFE,Insurance
LKQ,Retailing
LLY,PharmaceuticalsBiotechnologyAndLifeSciences
LMT,CapitalGoods
LNC,Insurance
LNT,Utilities
LOW,Retailing
LRCX,SemiconductorsAndSemiconductorEquipment
LUV,Transportation
LW,FoodBeverageAndTobacco
LYB,Materials
M,Retailing
MA,DiversifiedFinancialServices
MAA,EquityRealEstateInvestmentTrustsREITs
MAC,EquityRealEstateInvestmentTrustsREITs
MAR,ConsumerServices
MAS,CapitalGoods
MAT,ConsumerDurablesAndApparel
MCD,ConsumerServices
MCHP,SemiconductorsAndSemiconductorEquipment
MCK,HealthCareEquipmentAndServices
MCO,DiversifiedFinancialServices
MDLZ,FoodBeverageAndTobacco
MDT,HealthCareEquipmentAndServices
MEE,Energy
MET,Insurance
MGM,ConsumerServices
MHK,ConsumerDurablesAndApparel
MHS,HealthCareEquipmentAndServices
MI,Banks
MKC,FoodBeverageAndTobacco
MLM,Materials
MMI,RealEstateManagementAndDevelopment
MMM,CapitalGoods
MNST,FoodBeverageAndTobacco
MO,FoodBeverageAndTobacco
MOS,Materials
MPC,Energy
MRK,PharmaceuticalsBiotechnologyAndLifeSciences
MS,DiversifiedFinancialServices
MSCI,DiversifiedFinancialServices
MSFT,SoftwareAndServices
MSI,TechnologyHardwareAndEquipment
MTB,Banks
MTD,PharmaceuticalsBiotechnologyAndLifeSciences
MU,SemiconductorsAndSemiconductorEquipment
MUR,Energy
NAVI,DiversifiedFinancialServices
NBR,Energy
NCLH,ConsumerServices
NDAQ,DiversifiedFinancialServices
NE,Energy
NEE,Utilities
NEM,Materials
NFLX,MediaAndEntertainment
NFX,Energy
NI,Utilities
NKE,ConsumerDurablesAndApparel
NKTR,PharmaceuticalsBiotechnologyAndLifeSciences
NOC,CapitalGoods
NOV,Energy
NRG,Utilities
NSC,Transportation
NTAP,TechnologyHardwareAndEquipment
NTRS,DiversifiedFinancialServices
NUE,Materials
NVDA,SemiconductorsAndSemiconductorEquipment
NWL,ConsumerDurablesAndApparel
NWS,MediaAndEntertainment
NWSA,MediaAndEntertainment
NYT,MediaAndEntertainment
O,EquityRealEstateInvestmentTrustsREITs
OI,Materials
OKE,Energy
OMC,MediaAndEntertainment
ORCL,SoftwareAndServices
ORLY,Retailing
OXY,Energy
PAYX,CommercialAndProfessionalServices
PBG,FoodBeverageAndTobacco
PBI,CommercialAndProfessionalServices
PCAR,CapitalGoods
PCG,Utilities
PCL,EquityRealEstateInvestmentTrustsREITs
PEG,Utilities
PEP,FoodBeverageAndTobacco
PFE,PharmaceuticalsBiotechnologyAndLifeSciences
PFG,Insurance
PG,HouseholdAndPersonalProducts
PGR,Insurance
PH,CapitalGoods
PHM,ConsumerDurablesAndApparel
PKG,Materials
PLD,EquityRealEstateInvestmentTrustsREITs
PM,FoodBeverageAndTobacco
PNC,Banks
PNR,CapitalGoods
PNW,Utilities
POM,Utilities
PPG,Materials
PPL,Utilities
PRGO,PharmaceuticalsBiotechnologyAndLifeSciences
PRU,Insurance
PSA,EquityRealEstateInvestmentTrustsREITs
PSX,Energy
PTV,Materials
PVH,ConsumerDurablesAndApparel
PWR,CapitalGoods
PX,Materials
PYPL,DiversifiedFinancialServices
QCOM,SemiconductorsAndSemiconductorEquipment
QRVO,SemiconductorsAndSemiconductorEquipment
R,Transportation
RCL,ConsumerServices
REG,EquityRealEstateInvestmentTrustsREITs
REGN,PharmaceuticalsBiotechnologyAndLifeSciences
RF,Banks
RHI,CommercialAndProfessionalServices
RIG,Energy
RJF,DiversifiedFinancialServices
RL,ConsumerDurablesAndApparel
RMD,HealthCareEquipmentAndServices
ROK,CapitalGoods
ROL,CommercialAndProfessionalServices
ROP,SoftwareAndServices
ROST,Retailing
RRC,Energy
RSG,CommercialAndProfessionalServices
S,SoftwareAndServices
SBAC,EquityRealEstateInvestmentTrustsREITs
SBUX,ConsumerServices
SCG,Utilities
SCHW,DiversifiedFinancialServices
SE,Retailing
SEE,Materials
SHLD,Retailing
SHW,Materials
SIG,Retailing
SII,DiversifiedFinancialServices
SJM,FoodBeverageAndTobacco
SLB,Energy
SLG,EquityRealEstateInvestmentTrustsREITs
SLM,DiversifiedFinancialServices
SNA,CapitalGoods
SNDK,TechnologyHardwareAndEquipment
SNPS,SoftwareAndServices
SO,Utilities
SPG,EquityRealEstateInvestmentTrustsREITs
SPGI,DiversifiedFinancialServices
SPLS,Retailing
SRE,Utilities
STI,CapitalGoods
STT,DiversifiedFinancialServices
STX,TechnologyHardwareAndEquipment
STZ,FoodBeverageAndTobacco
SUN,Energy
SVU,ConsumerStaplesDistributionAndRetail
SWK,CapitalGoods
SWKS,SemiconductorsAndSemiconductorEquipment
SYF,DiversifiedFinancialServices
SYK,HealthCareEquipmentAndServices
SYY,ConsumerStaplesDistributionAndRetail
T,TelecommunicationServices
TAP,FoodBeverageAndTobacco
TDC,SoftwareAndServices
TDG,CapitalGoods
TE,CapitalGoods
TEG,Utilities
TEL,TechnologyHardwareAndEquipment
TER,SemiconductorsAndSemiconductorEquipment
TGNA,MediaAndEntertainment
TGT,ConsumerStaplesDistributionAndRetail
THC,HealthCareEquipmentAndServices
TIE,Materials
TJX,Retailing
TLAB,TechnologyHardwareAndEquipment
TMO,PharmaceuticalsBiotechnologyAndLifeSciences
TMUS,TelecommunicationServices
TPR,ConsumerDurablesAndApparel
TRIP,MediaAndEntertainment
TROW,DiversifiedFinancialServices
TRV,Insurance
TSCO,Retailing
TSN,FoodBeverageAndTobacco
TTWO,MediaAndEntertainment
TWX,MediaAndEntertainment
TXN,SemiconductorsAndSemiconductorEquipment
TXT,CapitalGoods
UA,ConsumerDurablesAndApparel
UAA,ConsumerDurablesAndApparel
UAL,Transportation
UDR,EquityRealEstateInvestmentTrustsREITs
UHS,HealthCareEquipmentAndServices
ULTA,Retailing
UNH,HealthCareEquipmentAndServices
UNM,Insurance
UNP,Transportation
UPS,Transportation
URBN,Retailing
URI,CapitalGoods
USB,Banks
V,DiversifiedFinancialServices
VFC,ConsumerDurablesAndApparel
VIAV,TechnologyHardwareAndEquipment
VLO,Energy
VMC,Materials
VNO,EquityRealEstateInvestmentTrustsREITs
VRSK,CommercialAndProfessionalServices
VRSN,SoftwareAndServices
VRTX,PharmaceuticalsBiotechnologyAndLifeSciences
VTR,EquityRealEstateInvestmentTrustsREITs
VZ,TelecommunicationServices
WAT,PharmaceuticalsBiotechnologyAndLifeSciences
WDC,TechnologyHardwareAndEquipment
WEC,Utilities
WELL,EquityRealEstateInvestmentTrustsREITs
WFC,Banks
WHR,ConsumerDurablesAndApparel
WM,CommercialAndProfessionalServices
WMB,Energy
WMT,ConsumerStaplesDistributionAndRetail
WU,DiversifiedFinancialServices
WY,EquityRealEstateInvestmentTrustsREITs
WYNN,ConsumerServices
XEL,Utilities
XOM,Energy
XRAY,HealthCareEquipmentAndServices
XRX,TechnologyHardwareAndEquipment
XYL,CapitalGoods
YUM,ConsumerServices
ZBH,HealthCareEquipmentAndServices
ZION,Banks
ZTS,PharmaceuticalsBiotechnologyAndLifeSciences